Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg05888755,II,17,46682319,F,LOC404266;HOXB6,-0.0111,0.0036,-3.12,0.0018,0.0476,0,0,--------+--+----
cg23217983,II,1,67018825,R,SGIP1,-0.0036,0.0012,-3.12,0.0018,0.0477,1,0,+----+---+-?--+-
cg00053916,II,8,37457329,R,,0.0025,0.0008,3.12,0.0018,0.0477,0,0,+++-+++--+++-+-+
cg14696396,I,15,83776446,F,TM6SF1,0.0019,0.0006,3.12,0.0018,0.0477,0,0,+++++-+++-+++-++
cg13487156,II,3,16467610,R,RFTN1,0.0014,0.0005,3.12,0.0018,0.0477,0,0,+++-+---++-+-+++
cg05505803,I,13,96296997,F,DZIP1,0.0017,0.0005,3.12,0.0018,0.0477,0,0,++--+++-+++++-++
cg19905757,II,15,68924127,F,CORO2B,-0.0028,0.0009,-3.12,0.0018,0.0477,0,0,--------++-+-+--
cg18599081,II,3,46448084,R,CCRL2,0.0047,0.0015,3.12,0.0018,0.0477,0,0,++-+++++-++-++-+
cg06926300,II,10,102397718,F,,-0.0024,0.0008,-3.12,0.0018,0.0477,0,0,---+------++----
cg16547450,II,13,21141711,F,IFT88,0.0013,0.0004,3.12,0.0018,0.0477,0,0,++++-++++-++++-+
cg00234691,I,5,75379273,R,SV2C,0.0014,0.0004,3.12,0.0018,0.0477,0,0,+++++-++++--++-+
cg14854517,II,12,48152428,R,RAPGEF3,0.0044,0.0014,3.12,0.0018,0.0477,1,0,+-+-+++++-+-++++
cg17175624,I,1,145438920,F,TXNIP,-0.0012,0.0004,-3.12,0.0018,0.0477,0,0,+--+---+--------
cg24262325,II,21,43305576,F,C2CD2,0.0035,0.0011,3.12,0.0018,0.0477,0,0,++++?--++--?++++
cg00555036,II,22,16213781,R,,0.0055,0.0018,3.12,0.0018,0.0477,0,0,++-++++-+++?+-++
cg25464787,II,1,158904784,F,PYHIN1,0.0024,0.0008,3.12,0.0018,0.0477,0,0,-++++??+++++++-+
cg03037684,II,6,152421333,R,ESR1,0.0035,0.0011,3.12,0.0018,0.0477,0,0,++-++++-+++++--+
cg26641935,II,6,74423256,F,CD109,0.0038,0.0012,3.12,0.0018,0.0477,0,0,+--++++++++-++++
cg27504195,I,3,113342400,R,SIDT1,-0.0012,0.0004,-3.12,0.0018,0.0478,0,0,------+--+---++-
cg25217583,II,1,50574383,F,ELAVL4,-0.0053,0.0017,-3.12,0.0018,0.0478,0,0,--++-+---+------
cg02039839,II,7,1015730,R,COX19,-0.0057,0.0018,-3.12,0.0018,0.0478,0,0,---+--+--+-+-+--
cg17154586,I,17,37753185,R,,0.0016,0.0005,3.12,0.0018,0.0478,0,0,++++++-+---+++++
cg20063270,II,1,158146122,R,,0.0023,0.0007,3.12,0.0018,0.0478,0,0,++-+++-++++?--++
cg23093589,II,7,20824932,R,SP8,0.0048,0.0015,3.12,0.0018,0.0478,1,0,+++-++--+++++-++
cg26893816,II,5,33997223,F,AMACR,-0.0050,0.0016,-3.12,0.0018,0.0478,0,0,---+-------+----
cg26639985,II,5,43393964,R,CCL28,0.0034,0.0011,3.12,0.0018,0.0478,0,0,++-++++++++--+++
cg20119798,II,7,94954144,F,PON1,0.0059,0.0019,3.12,0.0018,0.0478,0,0,-++--++++++++++-
cg06578342,II,16,4349215,F,,0.0062,0.0020,3.12,0.0018,0.0478,0,0,+++-+++++++-+-++
cg00636946,II,16,4898667,R,GLYR1;UBN1,-0.0068,0.0022,-3.12,0.0018,0.0478,0,0,--+-?+---+-?+--+
cg16574073,II,1,25261746,R,RUNX3,-0.0043,0.0014,-3.12,0.0018,0.0478,1,0,---+---+-+-?+---
cg16762979,I,20,50387214,R,,0.0017,0.0005,3.12,0.0018,0.0479,0,0,-+-++++++++-++++
cg03222244,II,10,30026066,F,SVIL,0.0016,0.0005,3.12,0.0018,0.0479,0,0,+++-+-+---+?--+-
cg00720845,II,4,774393,R,,-0.0052,0.0017,-3.12,0.0018,0.0479,0,0,-----+---+-+----
cg02105352,II,2,73929892,R,NAT8B,0.0038,0.0012,3.12,0.0018,0.0479,1,0,+++++-+++++?+++-
cg10936763,II,6,36647073,R,CDKN1A,-0.0022,0.0007,-3.12,0.0018,0.0479,1,0,-----+-+-+-+---+
cg03152353,II,9,139417194,F,NOTCH1,-0.0022,0.0007,-3.12,0.0018,0.0479,1,0,---+-+++--------
cg25574175,II,3,119500929,F,NR1I2,0.0029,0.0009,3.12,0.0018,0.0479,0,0,++-+++-+--+++--+
cg22186216,II,15,74637558,R,CYP11A1,-0.0035,0.0011,-3.12,0.0018,0.0479,0,0,---+-+---+-+----
cg02836487,II,3,128206457,R,GATA2,0.0014,0.0004,3.12,0.0018,0.0479,0,0,++--+++-+++++--+
cg08580268,I,7,150038502,R,RARRES2,-0.0077,0.0025,-3.12,0.0018,0.0479,0,0,----------------
cg11858474,I,10,81107246,F,PPIF,-0.0008,0.0002,-3.12,0.0018,0.0479,0,0,--+--+------+-+-
cg26178163,II,5,106805150,F,EFNA5,-0.0071,0.0023,-3.12,0.0018,0.0479,0,0,-----+----++----
cg19601035,II,12,48399140,R,COL2A1,0.0024,0.0008,3.12,0.0018,0.0479,0,0,++++++--++++++++
cg04731544,I,19,49004834,R,LMTK3,-0.0050,0.0016,-3.12,0.0018,0.0479,0,0,------------+--+
cg03332701,II,15,63793652,R,,-0.0083,0.0026,-3.12,0.0018,0.0480,0,0,-------+---+--+-
cg25000158,I,18,66382421,F,CCDC102B;TMX3,-0.0006,0.0002,-3.12,0.0018,0.0480,0,0,------++----+---
cg22455529,II,17,73495353,F,KIAA0195,0.0033,0.0010,3.12,0.0018,0.0480,1,0,++-++++++++-++-+
cg26915329,II,13,60033345,F,,0.0040,0.0013,3.12,0.0018,0.0480,0,0,-+-++++-++++++--
cg02225485,II,10,106014562,R,GSTO1,0.0015,0.0005,3.12,0.0018,0.0480,1,0,++++++-++++++--+
cg15320148,II,14,70449448,F,SMOC1,0.0057,0.0018,3.12,0.0018,0.0480,0,0,++-+?++++++++--+
cg02542953,II,2,1821733,F,MYT1L,-0.0020,0.0006,-3.12,0.0018,0.0480,0,0,----+----+-+--+-
cg14568830,I,10,23463243,R,,0.0030,0.0010,3.12,0.0018,0.0480,0,0,+++-++----+++-++
cg10994870,II,2,242799553,R,PDCD1,-0.0026,0.0008,-3.12,0.0018,0.0480,0,0,--+------+---+--
cg26993132,I,16,89239499,F,CDH15,-0.0020,0.0007,-3.12,0.0018,0.0480,0,0,---+-++-----+---
cg00350942,II,9,140034073,F,GRIN1,0.0062,0.0020,3.12,0.0018,0.0480,0,0,++++++++++--+--+
cg18378883,II,7,1126406,F,GPER;C7orf50,-0.0015,0.0005,-3.12,0.0018,0.0480,1,0,-----+---+-+----
cg05945059,I,18,56940463,R,RAX,0.0032,0.0010,3.12,0.0018,0.0481,0,0,+++-+++-+-+-+-++
cg23114772,I,17,80622243,R,RAB40B,-0.0008,0.0003,-3.12,0.0018,0.0481,0,0,--+--------?----
cg00383220,II,11,118963880,F,HMBS,-0.0046,0.0015,-3.12,0.0018,0.0481,0,0,---+-++--+---+--
cg23417875,II,2,102313069,F,MAP4K4,0.0035,0.0011,3.12,0.0018,0.0481,1,0,++++++-++++-+-++
cg20632143,II,12,51415652,F,SLC11A2,0.0020,0.0006,3.12,0.0018,0.0481,0,0,++++-++++++++--+
cg06330691,II,11,78673290,R,ODZ4,0.0018,0.0006,3.12,0.0018,0.0481,1,0,++-++-+-++--+-++
cg12586347,II,10,82025796,R,,-0.0036,0.0012,-3.12,0.0018,0.0481,0,0,---+----++----+-
cg27436579,II,7,56142202,R,SUMF2,0.0014,0.0005,3.12,0.0018,0.0481,1,0,++--+++++++++-++
cg25269247,I,17,42401439,F,SLC25A39,-0.0029,0.0009,-3.12,0.0018,0.0481,0,0,------+-+--+---+
cg22247188,II,10,71813603,F,H2AFY2,0.0019,0.0006,3.12,0.0018,0.0481,0,0,++--+-+-++++++++
cg14696468,II,17,7256577,F,KCTD11,-0.0025,0.0008,-3.12,0.0018,0.0481,0,0,-?+--+--??--+++-
cg22490695,II,16,31271240,R,ITGAM,0.0042,0.0013,3.12,0.0018,0.0481,1,0,++-++++++++-+-+-
cg20842915,II,7,39665132,R,RALA,-0.0088,0.0028,-3.12,0.0018,0.0481,1,0,---+-??----+++--
cg17256364,II,10,17495134,R,ST8SIA6,0.0044,0.0014,3.12,0.0018,0.0481,1,0,++++++++++--++-+
cg05907835,II,16,31214346,F,PYCARD,0.0018,0.0006,3.12,0.0018,0.0481,0,0,++++++++++-++-++
cg01152624,II,11,106239635,R,,-0.0067,0.0022,-3.12,0.0018,0.0481,0,0,-------++---+---
cg10758902,I,11,65560174,R,OVOL1,-0.0011,0.0004,-3.12,0.0018,0.0481,0,0,--++---+---?++--
cg00344443,I,11,115530150,R,,0.0028,0.0009,3.12,0.0018,0.0481,0,0,++--++++--+++-++
cg26471674,II,12,115132905,F,,0.0037,0.0012,3.12,0.0018,0.0481,0,0,+++++-++++--+-++
cg15557878,II,5,110406049,F,TSLP,0.0032,0.0010,3.12,0.0018,0.0482,0,0,+++++++-+++-+-++
cg11220060,II,19,12997418,R,KLF1,0.0034,0.0011,3.12,0.0018,0.0482,0,0,++-++-+++++--+-+
cg18500300,I,7,45128199,F,NACAD,-0.0049,0.0016,-3.12,0.0018,0.0482,0,0,-+-+-------+----
cg04614155,II,15,42209202,R,EHD4,0.0041,0.0013,3.12,0.0018,0.0482,1,0,+++++----+++++-+
cg05570735,II,4,124318841,R,SPRY1,0.0013,0.0004,3.12,0.0018,0.0482,0,0,+++-+-+-+++++-++
cg06675190,I,15,89346205,R,ACAN,0.0029,0.0009,3.12,0.0018,0.0482,0,0,+++-++-++++-++++
cg23109891,II,22,38379218,F,SOX10,-0.0041,0.0013,-3.12,0.0018,0.0482,0,0,--+--+-----+---+
cg00103806,II,10,90612232,R,ANKRD22,0.0017,0.0005,3.12,0.0018,0.0482,0,0,+++++++-++++++-+
cg12462720,II,20,62739073,R,NPBWR2,-0.0041,0.0013,-3.12,0.0018,0.0482,0,0,-------------+--
cg22088368,II,22,37404888,R,C22orf33,0.0033,0.0011,3.12,0.0018,0.0482,0,0,++-+++++-++-+-++
cg11009590,II,6,149082648,R,UST,0.0015,0.0005,3.12,0.0018,0.0482,0,0,++-+++++++++-+++
cg02057211,II,3,31803876,F,OSBPL10,0.0093,0.0030,3.12,0.0018,0.0482,0,0,+++++++++++-+--+
cg15028458,I,3,58860290,R,C3orf67,-0.0097,0.0031,-3.12,0.0018,0.0482,0,0,-+-+-+--?--+----
cg01741041,II,7,5567862,F,ACTB,-0.0039,0.0012,-3.11,0.0018,0.0482,1,0,-+-+-----+------
cg11659501,II,12,81471678,R,ACSS3,0.0021,0.0007,3.11,0.0018,0.0482,1,0,+++-+----++-++++
cg03525049,II,8,75232650,R,JPH1,0.0019,0.0006,3.11,0.0018,0.0482,0,0,++--++---++++-++
cg01620165,II,12,113530915,R,DTX1,0.0038,0.0012,3.11,0.0018,0.0482,0,0,++++?++++++?-+-+
cg15188084,II,9,135947049,F,CEL,-0.0024,0.0008,-3.11,0.0018,0.0483,0,0,--+---+--+------
cg24217894,II,12,58120635,F,LOC100130776;AGAP2,-0.0055,0.0018,-3.11,0.0018,0.0483,0,0,-----++--+-++---
cg22396555,I,13,28502461,R,,0.0031,0.0010,3.11,0.0018,0.0483,0,0,+++-+--++-+-+-++
cg05008975,II,11,118022317,R,SCN4B,-0.0031,0.0010,-3.11,0.0018,0.0483,0,0,-----+---+---+-+
cg26037936,II,11,120417671,R,,-0.0026,0.0008,-3.11,0.0018,0.0483,0,0,---+-----+-+-++-
cg00692610,II,17,34996066,R,,-0.0053,0.0017,-3.11,0.0018,0.0483,0,0,---+-------++-+-
cg12971867,I,22,50528564,R,MOV10L1,-0.0014,0.0004,-3.11,0.0018,0.0484,0,0,--+---+------+--
cg14487131,I,9,79633737,F,FOXB2,0.0022,0.0007,3.11,0.0018,0.0484,0,0,+++-+---+-+++--+
cg14042931,II,14,106791268,R,,-0.0047,0.0015,-3.11,0.0018,0.0484,0,0,-----++--+-?----
cg21141234,II,6,100067169,F,,0.0024,0.0008,3.11,0.0018,0.0484,0,0,++-++--++++++-++
cg11271171,II,5,94124467,F,MCTP1,0.0043,0.0014,3.11,0.0018,0.0484,0,0,++-+-++++++----+
cg01725872,II,22,45635600,F,C22orf9,-0.0044,0.0014,-3.11,0.0018,0.0484,0,0,-----+---+-++---
cg06846895,II,5,37723683,F,WDR70,-0.0055,0.0018,-3.11,0.0018,0.0484,0,0,-----+++-+------
cg20767845,I,X,128926467,R,SASH3,0.0020,0.0006,3.11,0.0018,0.0484,0,0,-++++??+??--++-+
cg06234201,II,16,68050984,F,,-0.0031,0.0010,-3.11,0.0018,0.0484,0,0,---+-+------++--
cg16604234,II,19,12592398,R,ZNF709,0.0021,0.0007,3.11,0.0018,0.0484,0,0,++++---+++++++-+
cg27072575,II,17,62778413,F,LOC146880,0.0018,0.0006,3.11,0.0018,0.0484,0,0,++++++++-++-++++
cg04771100,I,8,38832335,F,HTRA4,0.0044,0.0014,3.11,0.0018,0.0484,0,0,-++++++++-+++-++
cg16760981,II,11,63688531,R,,0.0032,0.0010,3.11,0.0018,0.0484,0,0,++-+--+-++--++++
cg12131827,I,8,21640270,R,GFRA2,-0.0046,0.0015,-3.11,0.0018,0.0484,0,0,--++---+--+?-+--
cg10214421,II,7,155174508,F,,0.0019,0.0006,3.11,0.0018,0.0484,0,0,++--+----++++--+
cg18302225,I,5,55776401,R,,-0.0059,0.0019,-3.11,0.0018,0.0484,0,0,-----+-+---+-++-
cg23889730,II,14,94254131,R,PRIMA1,0.0035,0.0011,3.11,0.0019,0.0484,0,0,+++-+-+-+++-+-++
cg27350307,II,19,8567502,F,PRAM1,0.0015,0.0005,3.11,0.0019,0.0485,0,0,++++?-+++-+?--++
cg20734996,II,17,7234027,F,NEURL4,-0.0047,0.0015,-3.11,0.0019,0.0485,0,0,-----+---+--+--+
cg21578195,II,20,62168727,R,PTK6,-0.0046,0.0015,-3.11,0.0019,0.0485,1,0,-------+--++----
cg15900052,II,1,87404379,F,HS2ST1,-0.0036,0.0011,-3.11,0.0019,0.0485,0,0,---++---------+-
cg16708281,II,2,114256673,F,FOXD4L1,0.0019,0.0006,3.11,0.0019,0.0485,0,0,++-++++-+++?+++-
cg03900565,II,1,203031815,F,PPFIA4,-0.0057,0.0018,-3.11,0.0019,0.0485,0,0,---+-+-+-+------
cg20071670,I,11,73661895,F,DNAJB13,-0.0044,0.0014,-3.11,0.0019,0.0485,0,0,---+-+-+--------
cg23060272,II,3,187870863,F,LPP,0.0034,0.0011,3.11,0.0019,0.0485,0,0,+++++++++++-++-+
cg04977602,II,5,35230728,R,PRLR,0.0037,0.0012,3.11,0.0019,0.0485,0,0,++-+++-++++-++++
cg13322252,I,1,15392793,R,KIAA1026,0.0037,0.0012,3.11,0.0019,0.0485,0,0,+++++-+++++++--+
cg10959408,II,1,54017944,R,GLIS1,-0.0032,0.0010,-3.11,0.0019,0.0486,1,0,-----+---+-+-+--
cg23561934,I,2,121199920,R,,0.0012,0.0004,3.11,0.0019,0.0486,0,0,-+++++-++-+-+-++
cg18041271,II,8,11756069,R,,0.0036,0.0012,3.11,0.0019,0.0486,0,0,+-++++-++++--+++
cg07393369,II,7,550640,R,PDGFA,0.0043,0.0014,3.11,0.0019,0.0486,0,0,++++++-++-+-+---
cg22386008,II,2,177737177,R,,-0.0038,0.0012,-3.11,0.0019,0.0486,0,0,-----??++--?-+--
cg08224217,II,17,18562111,F,ZNF286B,-0.0029,0.0009,-3.11,0.0019,0.0487,0,0,---+???----?++--
cg01700290,II,16,48845230,R,,0.0035,0.0011,3.11,0.0019,0.0487,0,0,+++-++++++++++++
cg03985801,I,1,202182603,F,LGR6,-0.0033,0.0011,-3.11,0.0019,0.0487,0,0,-----+-----+---+
cg26325430,II,13,33639059,F,KL,0.0019,0.0006,3.11,0.0019,0.0487,0,0,++---++++++-+++-
cg00059089,II,2,153263288,R,FMNL2,-0.0068,0.0022,-3.11,0.0019,0.0487,0,0,----???--?---+--
cg19631651,II,3,55005522,F,CACNA2D3,-0.0042,0.0014,-3.11,0.0019,0.0487,1,0,-+-+-----+------
cg08766149,II,14,25103301,F,GZMB,0.0039,0.0013,3.11,0.0019,0.0487,0,0,+++++++++++--+-+
cg16571794,II,4,7648627,R,SORCS2,0.0074,0.0024,3.11,0.0019,0.0487,0,0,++++++++++++----
cg25830307,I,10,77871644,R,C10orf11,-0.0043,0.0014,-3.11,0.0019,0.0487,0,0,--+--+------+--+
cg08620426,II,16,29607030,R,,0.0057,0.0018,3.11,0.0019,0.0487,0,0,+++-++--++++--++
cg27423228,II,3,43021399,R,FAM198A,0.0027,0.0009,3.11,0.0019,0.0488,0,0,++++++-++++?--++
cg14607011,I,10,135171746,R,C10orf125,-0.0023,0.0007,-3.11,0.0019,0.0488,0,0,-----+--+-----+-
cg09507184,II,1,156696846,R,ISG20L2;C1orf66,-0.0044,0.0014,-3.11,0.0019,0.0488,0,0,----++---+------
cg16582779,II,14,29237202,R,FOXG1,0.0028,0.0009,3.11,0.0019,0.0488,0,0,++++++++-++++-++
cg05884501,II,11,85522575,R,SYTL2,0.0014,0.0005,3.11,0.0019,0.0488,0,0,++-+++-++++-+--+
cg02058552,I,10,5454564,R,NET1,-0.0010,0.0003,-3.11,0.0019,0.0488,0,0,---+-+-----+--+-
cg21645089,II,6,39072458,R,C6orf64,0.0075,0.0024,3.11,0.0019,0.0488,1,0,++-+++++++-+---+
cg23891364,I,1,1207789,R,UBE2J2,-0.0038,0.0012,-3.11,0.0019,0.0488,0,0,--++---+---+++--
cg15209885,I,17,77753199,F,CBX2,0.0028,0.0009,3.11,0.0019,0.0488,0,0,+-+++++++-+-++-+
cg15389519,II,5,140769585,R,PCDHGB4;PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB3,-0.0042,0.0013,-3.11,0.0019,0.0488,0,0,---------+-?----
cg07217653,II,15,101591436,R,LRRK1,-0.0035,0.0011,-3.11,0.0019,0.0488,0,0,-+-+-+-+-+-?-+--
cg14093936,II,15,74726614,F,SEMA7A,-0.0057,0.0018,-3.11,0.0019,0.0488,1,0,---+---+---+----
cg22855968,II,6,134673162,R,,-0.0035,0.0011,-3.11,0.0019,0.0488,0,0,------+-++--+-+-
cg02493604,II,10,54073445,R,DKK1,-0.0031,0.0010,-3.11,0.0019,0.0488,0,0,------------+--+
cg23055315,II,8,56792234,F,LYN,0.0011,0.0004,3.11,0.0019,0.0488,0,0,++-++-++-++-++-+
cg03301058,II,6,90007856,R,GABRR2,-0.0112,0.0036,-3.11,0.0019,0.0488,0,0,---------+-+-+--
cg13385794,II,1,248469461,R,,0.0067,0.0022,3.11,0.0019,0.0488,0,0,+--++++++++++-++
cg01615704,I,2,110873396,F,MALL,0.0036,0.0012,3.11,0.0019,0.0489,0,0,+-+-+---+-+-+-++
cg03610852,II,8,65287050,R,,0.0033,0.0011,3.11,0.0019,0.0489,0,0,+++++??++++++++-
cg03549705,II,16,29674618,R,SPN,0.0027,0.0009,3.11,0.0019,0.0489,1,0,++++++++++++-+-+
cg10409253,II,7,5692709,F,RNF216,0.0024,0.0008,3.11,0.0019,0.0489,0,0,++-++++++-++--++
cg10180404,I,6,32632334,R,HLA-DQB1,-0.0203,0.0065,-3.11,0.0019,0.0489,0,0,----?------?-+--
cg10240853,II,7,100210548,F,MOSPD3,-0.0027,0.0009,-3.11,0.0019,0.0489,0,0,+--------+------
cg06160973,II,12,57522813,F,LRP1,0.0035,0.0011,3.11,0.0019,0.0489,1,0,+++-+++++++--+++
cg17430167,II,19,49655218,F,HRC,0.0024,0.0008,3.11,0.0019,0.0489,0,0,++-+++-+-++++--+
cg14866595,I,4,4873442,R,,0.0027,0.0009,3.11,0.0019,0.0489,0,0,+++-++-++++++-++
cg19998073,II,14,89078443,F,ZC3H14,0.0028,0.0009,3.11,0.0019,0.0489,0,0,++-++-+-+++++--+
cg09225373,II,6,52217264,F,,0.0033,0.0011,3.11,0.0019,0.0489,0,0,+++++++++++++-++
cg01580888,I,19,33556060,R,RHPN2,-0.0033,0.0011,-3.11,0.0019,0.0489,0,0,--------+-----+-
cg24707023,II,6,27860984,F,HIST1H2AM;HIST1H2BO,0.0007,0.0002,3.11,0.0019,0.0489,1,0,++++++++-+-+-+--
cg11372696,I,11,62528990,F,POLR2G,-0.0009,0.0003,-3.11,0.0019,0.0489,0,0,--+------+-----+
cg25026401,I,12,129308667,F,SLC15A4,-0.0012,0.0004,-3.11,0.0019,0.0490,0,0,---+-++--+-?+---
cg09524613,II,6,149097976,R,UST,-0.0019,0.0006,-3.11,0.0019,0.0490,0,0,-+-----+-+---++-
cg26343910,II,3,50127982,F,RBM5,-0.0023,0.0007,-3.11,0.0019,0.0490,0,0,-----+-+-+-?-+--
cg22848896,II,4,185940923,F,HELT,0.0018,0.0006,3.11,0.0019,0.0490,0,0,++--+++++-+?+--+
cg10237911,II,5,72861638,R,UTP15;ANKRA2,0.0008,0.0003,3.11,0.0019,0.0490,0,0,+--++-+++++---++
cg20699549,II,15,42567973,R,GANC,-0.0086,0.0028,-3.11,0.0019,0.0490,0,0,---+-??---+-----
cg04103532,II,6,143249236,F,HIVEP2,0.0070,0.0022,3.11,0.0019,0.0491,0,0,+++++----++++-++
cg14177925,II,14,22465676,F,,0.0045,0.0014,3.11,0.0019,0.0491,0,0,++-++-++-++-++-+
cg20503109,II,17,74565795,F,ST6GALNAC2,0.0031,0.0010,3.11,0.0019,0.0491,0,0,++++++++--+--+++
cg02991238,II,20,62734259,R,,0.0026,0.0008,3.11,0.0019,0.0491,0,0,++-++++++++-+-++
cg05643988,II,10,121575345,R,INPP5F,0.0028,0.0009,3.11,0.0019,0.0491,0,0,++-++-++++--++-+
cg07536018,II,5,138495127,F,SIL1,-0.0035,0.0011,-3.11,0.0019,0.0491,0,0,---+--++----++--
cg17078883,II,10,28759936,F,,0.0037,0.0012,3.11,0.0019,0.0491,0,0,++-+++++-++++++-
cg22068371,II,6,26407505,R,BTN3A1,-0.0040,0.0013,-3.11,0.0019,0.0491,0,0,-----++--+-?-+--
cg04403868,II,21,44312851,R,NDUFV3,0.0036,0.0011,3.11,0.0019,0.0491,0,0,+++++-+++--++--+
cg06308720,II,10,81006066,R,ZMIZ1,-0.0022,0.0007,-3.11,0.0019,0.0491,1,0,-----+-+-+--+---
cg09817016,II,5,137690920,F,KDM3B,-0.0061,0.0020,-3.11,0.0019,0.0491,0,0,---+-+-+-+-+-+--
cg21751684,I,15,89920887,R,LOC254559,0.0048,0.0015,3.11,0.0019,0.0491,0,0,+-++++-++-+-++++
cg26009035,II,2,113341711,R,CHCHD5,-0.0041,0.0013,-3.11,0.0019,0.0491,0,0,--++----+--?-+-+
cg08289346,II,6,34089350,R,GRM4,-0.0036,0.0011,-3.11,0.0019,0.0491,0,0,-+---+---+------
cg03561745,I,11,129843924,F,PRDM10,0.0045,0.0014,3.11,0.0019,0.0491,1,0,++++?+-++-+-+--+
cg15900248,I,1,60280812,F,HOOK1,0.0036,0.0012,3.11,0.0019,0.0491,0,0,+++-+-+++++-+-++
cg05998950,II,7,36916137,F,ELMO1,-0.0018,0.0006,-3.11,0.0019,0.0491,1,0,-++----+-+----+-
cg04089434,II,10,94516971,R,,0.0030,0.0010,3.11,0.0019,0.0491,0,0,+++++++++++-+-++
cg03650189,II,19,10405083,F,ICAM5,0.0090,0.0029,3.11,0.0019,0.0491,0,0,+++++++--++-+--+
cg27408184,II,17,8015494,F,ALOXE3,-0.0031,0.0010,-3.11,0.0019,0.0492,0,0,--------++------
cg00751332,II,18,20714332,R,CABLES1,-0.0053,0.0017,-3.11,0.0019,0.0492,0,0,------------+-++
cg07165260,I,16,85062881,F,KIAA0513,-0.0029,0.0009,-3.11,0.0019,0.0492,0,0,-------+-+---+--
cg15522517,II,1,15547652,F,,-0.0037,0.0012,-3.11,0.0019,0.0492,0,0,-----+-+-++-----
cg06748434,II,3,27761408,R,EOMES,0.0073,0.0024,3.11,0.0019,0.0492,0,0,++++++-++++--+-+
cg15922057,II,17,25784714,F,,-0.0052,0.0017,-3.11,0.0019,0.0492,0,0,---+-+-+----++--
cg05374982,II,1,31376412,R,SDC3,-0.0040,0.0013,-3.11,0.0019,0.0492,0,0,---+-+---+-+----
cg05765990,II,13,114782675,R,RASA3,0.0019,0.0006,3.11,0.0019,0.0492,1,0,+++-++++++++---+
cg07495470,II,22,43009195,F,POLDIP3,-0.0065,0.0021,-3.11,0.0019,0.0492,0,0,---+--+--+--+---
cg01745539,I,6,32632331,R,HLA-DQB1,-0.0173,0.0056,-3.11,0.0019,0.0492,0,0,+--------+-?-+--
cg01267797,II,5,79542470,R,SERINC5,-0.0067,0.0022,-3.11,0.0019,0.0492,1,0,-----+----++---+
cg09405076,II,11,70477139,F,SHANK2,0.0040,0.0013,3.11,0.0019,0.0492,0,0,++-++++++++-++-+
cg01115923,II,16,57793728,R,KIFC3,-0.0021,0.0007,-3.11,0.0019,0.0492,1,0,-++------+------
cg17137888,II,10,5592777,F,,0.0036,0.0012,3.11,0.0019,0.0492,0,0,++++++-++++-++++
cg09141338,II,17,7517217,R,FXR2;SHBG,-0.0053,0.0017,-3.11,0.0019,0.0492,0,0,---------+-+-+--
cg12080906,II,1,156646065,F,NES,-0.0062,0.0020,-3.11,0.0019,0.0493,0,0,-----------+-++-
cg05264101,II,17,75880308,F,FLJ45079,0.0035,0.0011,3.11,0.0019,0.0493,0,0,++++--+++++++-++
cg22337438,I,19,54327437,R,NLRP12,0.0036,0.0012,3.11,0.0019,0.0493,0,0,+++-+++++-+++--+
cg06847021,II,16,89165406,F,ACSF3,-0.0026,0.0008,-3.11,0.0019,0.0493,0,0,-----+---+-++---
cg24658321,I,7,138776717,R,ZC3HAV1,-0.0056,0.0018,-3.11,0.0019,0.0493,0,0,-----+----++?+++
cg04402122,II,16,1544648,R,TELO2,-0.0015,0.0005,-3.11,0.0019,0.0493,0,0,-----+-+-+--++--
cg03705396,II,3,183543680,R,MAP6D1,0.0031,0.0010,3.11,0.0019,0.0493,0,0,++++-+---+++++++
cg12212198,I,13,114302021,F,,0.0040,0.0013,3.11,0.0019,0.0493,0,0,+-+++-+++-++++-+
cg08718098,II,12,116756405,R,,0.0023,0.0007,3.11,0.0019,0.0493,0,0,++++?+-++++?+-++
cg26662324,II,10,126745862,F,CTBP2,-0.0064,0.0021,-3.11,0.0019,0.0493,1,0,+--+---+--------
cg08623535,II,5,121414267,F,LOX,0.0027,0.0009,3.11,0.0019,0.0494,0,0,+++-++---++-+-++
cg13984434,II,11,74952165,F,,0.0018,0.0006,3.11,0.0019,0.0494,0,0,++-++++--++-+---
cg01301282,II,1,2885134,R,,0.0039,0.0013,3.11,0.0019,0.0494,0,0,++++++--+++-++-+
cg00120096,I,17,42404197,R,,0.0008,0.0003,3.11,0.0019,0.0494,0,0,+++-+-+++-+-++++
cg21103987,II,19,7263809,F,INSR,-0.0019,0.0006,-3.11,0.0019,0.0494,0,0,---------+----+-
cg08490663,I,11,518649,F,,-0.0024,0.0008,-3.11,0.0019,0.0494,0,0,----+--+---+---+
cg16417374,II,1,26098310,R,MAN1C1,0.0046,0.0015,3.11,0.0019,0.0494,1,0,+++++-+-++--+--+
cg04910877,I,16,88988235,F,CBFA2T3,-0.0027,0.0009,-3.11,0.0019,0.0495,1,0,+-----++-+----++
cg01447281,II,1,8482689,F,RERE,-0.0047,0.0015,-3.11,0.0019,0.0495,0,0,--+-------+-----
